"","Produkt","Kategoria","Segment","Sprzedaz2013","Sprzedaz2014","Marza2013","Marza2014","Sztuki2013","Sztuki2014"
"738","Produkt 16","Skin care","Facial care","26","551",12,186,11,214
"739","Produkt 21","Skin care","Sun care","612","643",275,238,260,296
"740","Produkt 26","Skin care","Hand and body care","984","374",443,141,379,173
"741","Produkt 1","Skin care","Facial care","711","737",319,312,309,327
"742","Produkt 6","Skin care","Sun care","400","72",180,29,166,26
"743","Produkt 11","Skin care","Hand and body care","731","543",327,214,290,236
"744","Produkt 16","Skin care","Facial care","974","382",438,130,342,153
"745","Produkt 21","Skin care","Sun care","769","514",345,194,328,199
"746","Produkt 26","Skin care","Hand and body care","114","839",51,327,45,415
"747","Produkt 1","Skin care","Facial care","214","316",96,108,98,113
"748","Produkt 6","Skin care","Sun care","255","1,036",113,422,97,392
"749","Produkt 11","Skin care","Hand and body care","740","388",332,125,281,173
"750","Produkt 16","Skin care","Facial care","94","889",42,380,32,406
"751","Produkt 21","Skin care","Sun care","312","652",140,272,147,294
"752","Produkt 26","Skin care","Hand and body care","686","664",307,239,243,272
"753","Produkt 1","Skin care","Facial care","143","684",63,237,62,273
"754","Produkt 6","Skin care","Sun care","333","661",149,237,119,222
"755","Produkt 11","Skin care","Hand and body care","941","111",423,26,401,37
"756","Produkt 16","Skin care","Facial care","884","682",397,250,372,297
"757","Produkt 21","Skin care","Sun care","326","858",145,371,123,364
"758","Produkt 26","Skin care","Hand and body care","335","806",150,329,137,320
"759","Produkt 1","Skin care","Facial care","426","278",190,104,195,132
"760","Produkt 6","Skin care","Sun care","360","103",161,-18,173,35
"761","Produkt 11","Skin care","Hand and body care","888","126",400,34,327,60
"762","Produkt 16","Skin care","Facial care","818","727",367,286,313,349
"763","Produkt 21","Skin care","Sun care","541","201",242,30,204,78
"764","Produkt 26","Skin care","Hand and body care","202","754",90,292,70,277
"765","Produkt 1","Skin care","Facial care","660","498",296,173,266,187
"766","Produkt 6","Skin care","Sun care","753","1,067",337,475,328,362
"767","Produkt 11","Skin care","Hand and body care","469","521",210,158,214,217
"768","Produkt 16","Skin care","Facial care","756","422",339,169,338,191
"769","Produkt 21","Skin care","Sun care","455","455",205,152,223,156
"770","Produkt 26","Skin care","Hand and body care","937","1,092",421,473,397,494
"771","Produkt 1","Skin care","Facial care","964","635",432,271,368,217
"772","Produkt 6","Skin care","Sun care","625","947",280,346,304,339
"773","Produkt 11","Skin care","Hand and body care","996","528",448,165,495,216
"774","Produkt 16","Skin care","Facial care","548","318",246,106,185,132
"775","Produkt 21","Skin care","Sun care","888","621",398,274,411,228
"776","Produkt 26","Skin care","Hand and body care","483","298",216,66,223,107
"777","Produkt 1","Skin care","Facial care","255","828",115,314,104,279
"778","Produkt 6","Skin care","Sun care","431","343",192,110,212,116
"779","Produkt 11","Skin care","Hand and body care","767","729",345,278,293,263
"780","Produkt 16","Skin care","Facial care","867","855",388,353,414,313
"781","Produkt 21","Skin care","Sun care","620","988",278,402,210,400
"782","Produkt 26","Skin care","Hand and body care","163","870",72,321,65,373
"783","Produkt 1","Skin care","Facial care","25","100",11,3,12,49
"784","Produkt 6","Skin care","Sun care","607","286",272,120,283,106
"785","Produkt 11","Skin care","Hand and body care","705","389",316,159,277,157
"786","Produkt 16","Skin care","Facial care","864","490",387,153,418,189
"787","Produkt 21","Skin care","Sun care","765","58",344,-25,359,20
"788","Produkt 26","Skin care","Hand and body care","968","740",434,304,417,256
"789","Produkt 1","Skin care","Facial care","243","1,001",108,414,120,488
"790","Produkt 6","Skin care","Sun care","825","276",370,46,352,107
"791","Produkt 11","Skin care","Hand and body care","588","1,015",265,403,206,371
"792","Produkt 16","Skin care","Facial care","791","728",356,295,283,269
"793","Produkt 21","Skin care","Sun care","370","741",166,297,132,295
"794","Produkt 26","Skin care","Hand and body care","709","510",318,186,300,195
"795","Produkt 1","Skin care","Facial care","279","412",124,156,99,194
"796","Produkt 6","Skin care","Sun care","535","14",240,-38,263,6
"797","Produkt 11","Skin care","Hand and body care","767","781",345,316,293,290
"798","Produkt 16","Skin care","Facial care","330","546",147,212,117,205
"799","Produkt 21","Skin care","Sun care","176","198",77,65,77,82
"800","Produkt 26","Skin care","Hand and body care","548","126",247,-23,255,43
"801","Produkt 1","Skin care","Facial care","468","717",210,272,207,332
"802","Produkt 6","Skin care","Sun care","700","388",314,144,270,192
"803","Produkt 11","Skin care","Hand and body care","670","1,057",301,433,293,454
"804","Produkt 6","Skin care","Sun care","309","360",138,102,135,166
"805","Produkt 11","Skin care","Hand and body care","93","377",41,125,34,152
"806","Produkt 16","Skin care","Facial care","981","382",441,110,395,134
"807","Produkt 21","Skin care","Sun care","449","569",202,227,162,192
"808","Produkt 26","Skin care","Hand and body care","223","1,035",99,415,103,379
"809","Produkt 1","Skin care","Facial care","503","646",225,236,169,237
"810","Produkt 6","Skin care","Sun care","577","715",259,276,239,345
"811","Produkt 11","Skin care","Hand and body care","520","850",233,350,195,297
"812","Produkt 16","Skin care","Facial care","795","543",357,224,307,187
"813","Produkt 21","Skin care","Sun care","549","62",247,0,272,22
"814","Produkt 26","Skin care","Hand and body care","947","291",425,83,400,103
"815","Produkt 1","Skin care","Facial care","882","35",397,-46,337,15
"816","Produkt 6","Skin care","Sun care","768","1",345,-64,261,0
"817","Produkt 11","Skin care","Hand and body care","822","650",368,269,304,235
"818","Produkt 16","Skin care","Facial care","340","613",151,224,142,219
"819","Produkt 21","Skin care","Sun care","213","486",94,163,105,217
"820","Produkt 26","Skin care","Hand and body care","264","780",119,278,118,281
"821","Produkt 1","Skin care","Facial care","186","553",82,221,63,253
"822","Produkt 6","Skin care","Sun care","437","519",195,180,186,252
"823","Produkt 11","Skin care","Hand and body care","374","935",168,388,187,354
"824","Produkt 16","Skin care","Facial care","91","93",40,29,31,42
"825","Produkt 21","Skin care","Sun care","882","31",396,-21,296,12
"826","Produkt 26","Skin care","Hand and body care","107","465",48,134,37,223
"827","Produkt 1","Skin care","Facial care","687","252",308,91,337,87
"828","Produkt 6","Skin care","Sun care","963","331",433,101,476,164
"829","Produkt 11","Skin care","Hand and body care","890","229",399,74,336,106
"830","Produkt 16","Skin care","Facial care","90","661",41,247,42,256
"831","Produkt 21","Skin care","Sun care","635","1,017",285,448,227,434
"832","Produkt 26","Skin care","Hand and body care","180","316",80,121,90,107
"833","Produkt 1","Skin care","Facial care","983","617",442,247,377,247
"834","Produkt 6","Skin care","Sun care","471","989",211,415,180,330
"835","Produkt 11","Skin care","Hand and body care","9","784",3,322,4,354
"836","Produkt 16","Skin care","Facial care","759","1,052",340,416,256,394
"837","Produkt 21","Skin care","Sun care","563","475",253,201,235,167
"838","Produkt 26","Skin care","Hand and body care","402","382",179,156,192,182
"839","Produkt 1","Skin care","Facial care","614","111",274,28,239,39
"840","Produkt 6","Skin care","Sun care","953","89",428,-22,443,41
"841","Produkt 11","Skin care","Hand and body care","117","284",51,81,41,110
"842","Produkt 16","Skin care","Facial care","952","997",427,414,400,392
"843","Produkt 21","Skin care","Sun care","326","479",146,162,113,238
"844","Produkt 26","Skin care","Hand and body care","8","604",2,237,3,223
"845","Produkt 1","Skin care","Facial care","792","1,073",356,435,329,365
"846","Produkt 6","Skin care","Sun care","265","356",118,109,110,159
"847","Produkt 11","Skin care","Hand and body care","37","944",15,382,15,410
"848","Produkt 16","Skin care","Facial care","467","272",210,103,190,99
"849","Produkt 21","Skin care","Sun care","83","874",36,373,29,312
"850","Produkt 26","Skin care","Hand and body care","357","340",160,92,128,130
"851","Produkt 1","Skin care","Facial care","948","118",426,35,387,44
"852","Produkt 6","Skin care","Sun care","311","318",138,79,128,156
"853","Produkt 11","Skin care","Hand and body care","306","651",136,274,114,284
"854","Produkt 16","Skin care","Facial care","379","336",169,76,161,124
"855","Produkt 21","Skin care","Sun care","853","204",382,52,386,102
"856","Produkt 26","Skin care","Hand and body care","139","932",62,399,69,415
"857","Produkt 1","Skin care","Facial care","329","1,029",147,454,116,372
"858","Produkt 6","Skin care","Sun care","125","674",56,267,52,316
"859","Produkt 11","Skin care","Hand and body care","175","766",78,320,87,289
"860","Produkt 16","Skin care","Facial care","654","137",294,16,245,55
"861","Produkt 21","Skin care","Sun care","532","216",239,93,198,78
"862","Produkt 26","Skin care","Hand and body care","944","92",424,-11,417,31
"863","Produkt 1","Skin care","Facial care","715","33",322,-22,324,13
"864","Produkt 6","Skin care","Sun care","663","177",297,-2,316,64
"865","Produkt 11","Skin care","Hand and body care","411","914",183,370,203,381
"866","Produkt 16","Skin care","Facial care","574","748",257,300,200,353
"867","Produkt 21","Skin care","Sun care","275","101",122,-28,104,41
"868","Produkt 26","Skin care","Hand and body care","629","762",283,329,242,295
"869","Produkt 6","Skin care","Sun care","767","572",344,212,265,254
"870","Produkt 11","Skin care","Hand and body care","364","642",162,226,173,249
"871","Produkt 16","Skin care","Facial care","103","966",45,382,35,464
"872","Produkt 21","Skin care","Sun care","947","971",425,396,442,346
"873","Produkt 26","Skin care","Hand and body care","561","58",251,-16,215,22
"874","Produkt 1","Skin care","Facial care","110","794",49,288,39,369
"875","Produkt 6","Skin care","Sun care","746","179",335,52,255,65
"876","Produkt 11","Skin care","Hand and body care","859","897",386,339,340,328
"877","Produkt 16","Skin care","Facial care","595","33",267,-3,262,14
"878","Produkt 21","Skin care","Sun care","342","389",152,158,141,177
"879","Produkt 26","Skin care","Hand and body care","864","392",387,148,354,141
"880","Produkt 1","Skin care","Facial care","228","669",101,254,91,234
"881","Produkt 6","Skin care","Sun care","323","427",144,133,118,149
"882","Produkt 11","Skin care","Hand and body care","686","539",309,225,245,208
"883","Produkt 16","Skin care","Facial care","871","380",392,117,298,182
"884","Produkt 21","Skin care","Sun care","935","299",420,72,398,121
"885","Produkt 26","Skin care","Hand and body care","419","51",187,-17,160,25
"886","Produkt 1","Skin care","Facial care","666","345",299,144,232,155
"887","Produkt 6","Skin care","Sun care","583","491",262,188,234,170
"888","Produkt 11","Skin care","Hand and body care","740","544",331,208,288,181
"889","Produkt 16","Skin care","Facial care","637","38",285,2,213,19
"890","Produkt 21","Skin care","Sun care","635","782",286,335,214,314
"891","Produkt 26","Skin care","Hand and body care","21","988",8,368,9,427
"892","Produkt 1","Skin care","Facial care","839","663",377,228,324,310
"893","Produkt 6","Skin care","Sun care","730","1,007",329,411,345,342
"894","Produkt 11","Skin care","Hand and body care","899","30",403,-2,355,15
"895","Produkt 16","Skin care","Facial care","440","667",196,242,185,242
"896","Produkt 21","Skin care","Sun care","407","200",183,38,151,74
"897","Produkt 26","Skin care","Hand and body care","79","121",35,8,38,50
"898","Produkt 1","Skin care","Facial care","33","1,077",13,465,13,469
"899","Produkt 6","Skin care","Sun care","216","811",96,324,105,308
"900","Produkt 11","Skin care","Hand and body care","757","19",339,-46,319,9
"901","Produkt 16","Skin care","Facial care","75","326",34,117,32,116
"902","Produkt 21","Skin care","Sun care","897","79",404,-22,420,31
"903","Produkt 26","Skin care","Hand and body care","267","858",119,323,109,408
"904","Produkt 1","Skin care","Facial care","123","1,098",54,428,48,418
"905","Produkt 6","Skin care","Sun care","42","264",17,108,18,124
"906","Produkt 11","Skin care","Hand and body care","869","218",389,27,425,95
"907","Produkt 16","Skin care","Facial care","316","414",142,119,125,193
"908","Produkt 21","Skin care","Sun care","674","133",303,21,239,59
"909","Produkt 26","Skin care","Hand and body care","212","716",93,257,95,358
"910","Produkt 1","Skin care","Facial care","504","179",226,32,190,79
"911","Produkt 6","Skin care","Sun care","596","305",268,70,279,121
"912","Produkt 11","Skin care","Hand and body care","447","257",200,92,221,126
"913","Produkt 16","Skin care","Facial care","365","143",163,34,137,71
"914","Produkt 21","Skin care","Sun care","509","1,090",228,428,251,378
"915","Produkt 26","Skin care","Hand and body care","138","733",61,298,49,282
"916","Produkt 1","Skin care","Facial care","60","773",26,335,29,285
"917","Produkt 6","Skin care","Sun care","74","292",33,90,29,121
"918","Produkt 11","Skin care","Hand and body care","955","48",429,-16,369,22
"919","Produkt 16","Skin care","Facial care","402","1,020",179,404,173,446
"920","Produkt 21","Skin care","Sun care","841","644",378,224,371,239
"921","Produkt 26","Skin care","Hand and body care","893","1,062",400,429,333,410
"922","Produkt 1","Skin care","Facial care","741","594",333,227,326,249
"923","Produkt 6","Skin care","Sun care","459","13",206,-35,222,5
"924","Produkt 11","Skin care","Hand and body care","176","516",79,194,65,189
"925","Produkt 16","Skin care","Facial care","438","558",197,184,152,259
"926","Produkt 21","Skin care","Sun care","552","270",247,50,209,133
"927","Produkt 26","Skin care","Hand and body care","976","386",439,132,374,138
"928","Produkt 1","Skin care","Facial care","914","594",411,197,397,282
"929","Produkt 6","Skin care","Sun care","369","556",165,222,136,242
"930","Produkt 11","Skin care","Hand and body care","390","557",175,217,151,196
"931","Produkt 16","Skin care","Facial care","539","832",241,341,231,324
"932","Produkt 21","Skin care","Sun care","902","509",405,174,346,177
"933","Produkt 26","Skin care","Hand and body care","821","438",369,140,361,160
"934","Produkt 1","Skin care","Facial care","650","57",291,-24,217,21
"935","Produkt 6","Skin care","Sun care","246","739",109,323,112,351
"936","Produkt 11","Skin care","Hand and body care","604","767",271,313,284,282
"937","Produkt 16","Skin care","Facial care","746","769",334,328,293,274
"938","Produkt 21","Skin care","Sun care","38","433",16,153,15,190
"939","Produkt 26","Skin care","Hand and body care","75","459",32,192,29,191
"940","Produkt 1","Skin care","Facial care","962","32",433,-15,341,12
"941","Produkt 6","Skin care","Sun care","283","54",127,-37,139,21
"942","Produkt 11","Skin care","Hand and body care","603","855",271,370,208,289
"943","Produkt 16","Skin care","Facial care","228","548",101,203,84,227
"944","Produkt 21","Skin care","Sun care","830","117",373,-1,306,50
"945","Produkt 26","Skin care","Hand and body care","503","68",225,5,193,25
"946","Produkt 1","Skin care","Facial care","859","921",385,393,320,421
"947","Produkt 6","Skin care","Sun care","742","646",334,260,266,323
"948","Produkt 11","Skin care","Hand and body care","502","398",225,129,208,156
"949","Produkt 16","Skin care","Facial care","494","192",221,31,165,72
"950","Produkt 21","Skin care","Sun care","62","790",27,280,21,335
"951","Produkt 26","Skin care","Hand and body care","861","862",386,360,416,318
"952","Produkt 1","Skin care","Facial care","257","25",115,-12,97,11
"953","Produkt 6","Skin care","Sun care","409","242",183,91,156,83
"954","Produkt 11","Skin care","Hand and body care","772","864",347,363,281,314
"955","Produkt 16","Skin care","Facial care","476","455",213,142,231,173
"956","Produkt 21","Skin care","Sun care","483","957",217,373,233,359
"957","Produkt 26","Skin care","Hand and body care","714","61",319,-36,291,27
"958","Produkt 1","Skin care","Facial care","696","260",312,59,322,98
"959","Produkt 6","Skin care","Sun care","544","930",245,358,245,334
"960","Produkt 11","Skin care","Hand and body care","108","448",47,156,46,200
"961","Produkt 16","Skin care","Facial care","698","438",313,167,309,202
"962","Produkt 21","Skin care","Sun care","754","914",338,366,270,333
"963","Produkt 26","Skin care","Hand and body care","557","335",249,128,273,124
"964","Produkt 1","Skin care","Facial care","506","862",226,344,177,399
"965","Produkt 6","Skin care","Sun care","285","324",127,97,117,117
"966","Produkt 11","Skin care","Hand and body care","540","980",243,404,189,392
"967","Produkt 16","Skin care","Facial care","532","1,041",238,436,190,375
"968","Produkt 21","Skin care","Sun care","569","720",255,259,240,281
"969","Produkt 26","Skin care","Hand and body care","287","935",128,374,131,312
"970","Produkt 1","Skin care","Facial care","803","938",361,392,366,324
"971","Produkt 6","Skin care","Sun care","674","856",301,346,300,367
"972","Produkt 11","Skin care","Hand and body care","91","361",40,90,31,131
"973","Produkt 16","Skin care","Facial care","174","689",78,258,72,246
"974","Produkt 21","Skin care","Sun care","641","375",288,144,272,176
"975","Produkt 26","Skin care","Hand and body care","102","27",46,-16,43,11
"976","Produkt 1","Skin care","Facial care","18","702",7,276,9,239
"977","Produkt 6","Skin care","Sun care","832","679",373,275,412,307
"978","Produkt 11","Skin care","Hand and body care","956","86",429,5,406,40
"979","Produkt 16","Skin care","Facial care","690","795",309,304,230,331
"980","Produkt 21","Skin care","Sun care","941","51",423,-5,350,17
"981","Produkt 26","Skin care","Hand and body care","423","769",189,294,198,263
"982","Produkt 1","Skin care","Facial care","755","193",340,62,280,74
"983","Produkt 6","Skin care","Sun care","377","535",170,192,188,182
"984","Produkt 11","Skin care","Hand and body care","153","680",67,266,69,245
"985","Produkt 16","Skin care","Facial care","823","304",369,73,303,127
"986","Produkt 21","Skin care","Sun care","852","377",383,99,322,130
"987","Produkt 26","Skin care","Hand and body care","727","1,058",326,459,259,359
"988","Produkt 1","Skin care","Facial care","195","224",87,52,94,98
"989","Produkt 6","Skin care","Sun care","620","884",278,337,306,436
"990","Produkt 11","Skin care","Hand and body care","414","550",184,201,184,197
"991","Produkt 16","Skin care","Facial care","611","448",273,186,242,154
"992","Produkt 21","Skin care","Sun care","727","514",327,186,250,221
"993","Produkt 26","Skin care","Hand and body care","626","772",280,298,312,363
"994","Produkt 1","Skin care","Facial care","648","967",291,421,226,458
"995","Produkt 6","Skin care","Sun care","179","665",80,219,87,259
"996","Produkt 11","Skin care","Hand and body care","288","1,053",128,426,129,373
"997","Produkt 16","Skin care","Facial care","812","152",366,37,275,69
"998","Produkt 21","Skin care","Sun care","105","563",46,224,35,215
"999","Produkt 26","Skin care","Hand and body care","324","911",145,338,140,323
"1000","Produkt 1","Skin care","Facial care","48","1,092",21,456,21,503
"1001","Produkt 6","Skin care","Sun care","124","323",56,123,57,115
"1002","Produkt 11","Skin care","Hand and body care","744","456",334,183,321,164
"1003","Produkt 16","Skin care","Facial care","285","635",127,259,106,217
"1004","Produkt 21","Skin care","Sun care","983","259",441,103,348,116
"1005","Produkt 26","Skin care","Hand and body care","969","293",436,110,439,117
"1006","Produkt 1","Skin care","Facial care","333","663",150,257,119,280
"1007","Produkt 6","Skin care","Sun care","131","234",58,88,51,102
"1008","Produkt 11","Skin care","Hand and body care","875","422",393,127,300,164
"1009","Produkt 16","Skin care","Facial care","555","738",249,284,227,278
"1010","Produkt 21","Skin care","Sun care","820","540",368,235,306,258
"1011","Produkt 26","Skin care","Hand and body care","719","630",323,242,317,282
"1012","Produkt 1","Skin care","Facial care","86","108",38,3,36,39
"1013","Produkt 6","Skin care","Sun care","768","135",345,-6,354,63
"1014","Produkt 11","Skin care","Hand and body care","274","452",123,141,120,174
"1015","Produkt 16","Skin care","Facial care","51","782",22,330,24,363
"1016","Produkt 21","Skin care","Sun care","985","1,044",443,442,330,452
"1017","Produkt 26","Skin care","Hand and body care","425","671",191,247,146,297
"1018","Produkt 1","Skin care","Facial care","345","439",155,134,122,167
"1019","Produkt 6","Skin care","Sun care","433","959",193,388,153,334
"1020","Produkt 11","Skin care","Hand and body care","587","775",263,280,267,270
"1021","Produkt 16","Skin care","Facial care","677","498",303,198,309,209
"1022","Produkt 21","Skin care","Sun care","940","1,023",423,413,467,490
"1023","Produkt 26","Skin care","Hand and body care","196","226",88,51,89,82
"1024","Produkt 1","Skin care","Facial care","119","437",53,150,54,185
"1025","Produkt 6","Skin care","Sun care","920","1,057",413,437,408,449
"1026","Produkt 11","Skin care","Hand and body care","1,000","25",448,-13,448,11
"1027","Produkt 16","Skin care","Facial care","465","80",209,-10,207,35
"1028","Produkt 21","Skin care","Sun care","737","328",330,84,324,127
"1029","Produkt 26","Skin care","Hand and body care","723","733",325,284,347,348
"1030","Produkt 1","Skin care","Facial care","43","394",18,141,17,151
"1031","Produkt 6","Skin care","Sun care","355","800",158,304,172,270
"1032","Produkt 11","Skin care","Hand and body care","47","898",20,352,19,413
"1033","Produkt 16","Skin care","Facial care","481","540",216,232,182,214
"1034","Produkt 21","Skin care","Sun care","944","392",423,159,355,138
"1035","Produkt 26","Skin care","Hand and body care","544","565",243,250,229,262
"1036","Produkt 1","Skin care","Facial care","553","272",247,102,230,117
"1037","Produkt 6","Skin care","Sun care","261","101",116,-13,108,35
"1038","Produkt 11","Skin care","Hand and body care","484","997",217,404,167,364
"1039","Produkt 16","Skin care","Facial care","423","917",188,355,175,348
"1040","Produkt 21","Skin care","Sun care","397","262",178,74,147,96
"1041","Produkt 26","Skin care","Hand and body care","848","757",380,283,325,259
"1042","Produkt 1","Skin care","Facial care","804","656",360,235,284,254
"1043","Produkt 6","Skin care","Sun care","278","252",125,82,96,101
"1044","Produkt 11","Skin care","Hand and body care","643","1,050",288,395,227,519
"1045","Produkt 16","Skin care","Facial care","750","412",338,163,303,142
"1046","Produkt 21","Skin care","Sun care","43","902",18,330,18,339
"1047","Produkt 26","Skin care","Hand and body care","944","513",423,210,337,199
"1048","Produkt 1","Skin care","Facial care","921","329",414,93,412,124
"1049","Produkt 6","Skin care","Sun care","753","464",338,150,281,209
"1050","Produkt 11","Skin care","Hand and body care","766","210",344,47,280,80
"1051","Produkt 16","Skin care","Facial care","492","166",221,67,165,63
"1052","Produkt 21","Skin care","Sun care","104","896",46,362,51,324
"1053","Produkt 26","Skin care","Hand and body care","304","94",135,26,139,42
"1054","Produkt 1","Skin care","Facial care","230","59",102,8,99,20
"1055","Produkt 6","Skin care","Sun care","143","105",63,9,56,41
"1056","Produkt 11","Skin care","Hand and body care","73","712",32,292,26,277
"1057","Produkt 16","Skin care","Facial care","901","600",405,236,394,235
"1058","Produkt 21","Skin care","Sun care","377","344",168,138,132,130
"1059","Produkt 26","Skin care","Hand and body care","155","890",69,354,61,386
"1060","Produkt 1","Skin care","Facial care","532","152",238,29,222,67
"1061","Produkt 6","Skin care","Sun care","467","626",209,232,163,307
"1062","Produkt 11","Skin care","Hand and body care","194","36",86,-20,68,12
"1063","Produkt 16","Skin care","Facial care","372","300",167,112,177,130
"1064","Produkt 21","Skin care","Sun care","112","421",49,179,38,161
"1065","Produkt 26","Skin care","Hand and body care","318","483",143,181,130,164
"1066","Produkt 1","Skin care","Facial care","343","338",154,98,167,140
"1067","Produkt 6","Skin care","Sun care","213","997",95,400,105,486
"1068","Produkt 11","Skin care","Hand and body care","6","1,002",2,421,2,432
"1069","Produkt 16","Skin care","Facial care","586","193",264,21,266,75
"1070","Produkt 21","Skin care","Sun care","732","1,050",328,462,318,378
"1071","Produkt 26","Skin care","Hand and body care","269","137",120,36,106,62
"1072","Produkt 1","Skin care","Facial care","170","911",75,400,76,387
"1073","Produkt 6","Skin care","Sun care","310","735",139,290,122,337
"1074","Produkt 11","Skin care","Hand and body care","308","272",138,51,111,100
"1075","Produkt 16","Skin care","Facial care","587","406",264,158,231,191
"1076","Produkt 21","Skin care","Sun care","483","684",216,291,179,295
"1077","Produkt 26","Skin care","Hand and body care","605","968",271,366,276,413
"1078","Produkt 1","Skin care","Facial care","624","621",279,262,214,280
"1079","Produkt 6","Skin care","Sun care","523","226",234,86,223,87
"1080","Produkt 11","Skin care","Hand and body care","666","742",299,299,287,278
"1081","Produkt 16","Skin care","Facial care","991","397",446,152,491,135
"1082","Produkt 21","Skin care","Sun care","611","969",274,424,247,338
"1083","Produkt 26","Skin care","Hand and body care","658","411",296,150,238,174
"1084","Produkt 1","Skin care","Facial care","983","367",441,120,452,131
"1085","Produkt 6","Skin care","Sun care","780","179",349,57,294,69
"1086","Produkt 11","Skin care","Hand and body care","443","85",197,-14,212,31
"1087","Produkt 16","Skin care","Facial care","180","903",81,339,78,371
"1088","Produkt 21","Skin care","Sun care","468","652",209,242,207,295
"1089","Produkt 26","Skin care","Hand and body care","680","896",305,358,248,351
"1090","Produkt 1","Skin care","Facial care","258","926",115,387,98,345
"1091","Produkt 6","Skin care","Sun care","506","439",227,136,234,169
"1092","Produkt 11","Skin care","Hand and body care","63","623",27,229,29,262
"1093","Produkt 16","Skin care","Facial care","515","720",230,263,189,323
"1094","Produkt 21","Skin care","Sun care","170","677",77,251,83,231
"1095","Produkt 26","Skin care","Hand and body care","805","897",362,342,360,409
"1096","Produkt 1","Skin care","Facial care","362","330",162,83,132,158
"1097","Produkt 6","Skin care","Sun care","932","51",419,-34,393,24
"1098","Produkt 11","Skin care","Hand and body care","941","462",422,159,391,180
"1099","Produkt 16","Skin care","Facial care","975","404",438,164,367,174
"1100","Produkt 21","Skin care","Sun care","759","261",340,56,257,92
"1101","Produkt 26","Skin care","Hand and body care","396","10",178,-35,140,4
"1102","Produkt 1","Skin care","Facial care","68","815",29,347,30,290
"1103","Produkt 6","Skin care","Sun care","135","60",59,-42,50,24
"1104","Produkt 11","Skin care","Hand and body care","722","583",323,210,260,196
"1105","Produkt 16","Skin care","Facial care","628","692",282,260,258,240
"1106","Produkt 21","Skin care","Sun care","34","761",15,334,12,291
"1107","Produkt 26","Skin care","Hand and body care","503","1,012",226,435,191,488
"1108","Produkt 1","Skin care","Facial care","536","1,038",240,434,252,499
"1109","Produkt 6","Skin care","Sun care","921","344",414,105,442,146
"1110","Produkt 11","Skin care","Hand and body care","31","83",14,6,14,39
"1111","Produkt 16","Skin care","Facial care","327","655",147,226,151,324
"1112","Produkt 21","Skin care","Sun care","762","641",343,267,322,295
"1113","Produkt 26","Skin care","Hand and body care","684","701",307,270,322,334
"1114","Produkt 1","Skin care","Facial care","547","194",245,57,273,68
"1115","Produkt 6","Skin care","Sun care","580","1,036",260,415,204,392
"1116","Produkt 11","Skin care","Hand and body care","508","907",229,381,171,319
"1117","Produkt 16","Skin care","Facial care","767","401",345,154,364,172
"1118","Produkt 21","Skin care","Sun care","478","363",213,135,164,152
"1119","Produkt 26","Skin care","Hand and body care","550","283",246,63,187,100
"1120","Produkt 1","Skin care","Facial care","755","705",339,284,346,296
"1121","Produkt 6","Skin care","Sun care","844","276",379,98,329,110
"1122","Produkt 11","Skin care","Hand and body care","669","16",301,-27,295,6
"1123","Produkt 16","Skin care","Facial care","639","82",287,-6,267,36
"1124","Produkt 21","Skin care","Sun care","747","289",335,74,290,113
"1125","Produkt 26","Skin care","Hand and body care","735","625",331,249,272,218
"1126","Produkt 1","Skin care","Facial care","17","866",6,325,6,335
"1127","Produkt 6","Skin care","Sun care","632","267",284,77,261,119
"1128","Produkt 11","Skin care","Hand and body care","909","848",407,326,384,301
"1129","Produkt 16","Skin care","Facial care","743","631",333,266,349,242
"1130","Produkt 21","Skin care","Sun care","391","932",175,354,144,454
"1131","Produkt 26","Skin care","Hand and body care","651","939",291,394,274,337
"1132","Produkt 1","Skin care","Facial care","558","472",251,149,194,210
"1133","Produkt 6","Skin care","Sun care","102","257",45,80,34,108
"1134","Produkt 11","Skin care","Hand and body care","267","554",119,234,106,239
"1135","Produkt 16","Skin care","Facial care","980","525",441,189,351,186
"1136","Produkt 21","Skin care","Sun care","505","860",227,322,174,340
"1137","Produkt 26","Skin care","Hand and body care","587","946",263,390,206,381
"1138","Produkt 1","Skin care","Facial care","748","761",336,307,272,366
"1139","Produkt 6","Skin care","Sun care","461","350",207,126,200,165
"1140","Produkt 11","Skin care","Hand and body care","541","687",242,278,268,296
"1141","Produkt 16","Skin care","Facial care","513","425",230,151,232,180
"1142","Produkt 21","Skin care","Sun care","328","645",146,240,115,257
"1143","Produkt 26","Skin care","Hand and body care","282","203",126,51,97,77
"1144","Produkt 1","Skin care","Facial care","904","473",406,164,322,220
"1145","Produkt 6","Skin care","Sun care","218","353",98,119,83,119
"1146","Produkt 11","Skin care","Hand and body care","677","933",304,397,229,330
"1147","Produkt 16","Skin care","Facial care","160","406",71,164,60,157
"1148","Produkt 21","Skin care","Sun care","531","1,089",238,466,201,381
"1149","Produkt 26","Skin care","Hand and body care","945","761",425,323,382,318
"1150","Produkt 1","Skin care","Facial care","389","252",174,73,150,91
"1151","Produkt 26","Skin care","Hand and body care","427","742",191,326,164,313
"1152","Produkt 1","Skin care","Facial care","233","737",104,278,112,333
"1153","Produkt 6","Skin care","Sun care","40","564",17,212,14,266
"1154","Produkt 11","Skin care","Hand and body care","492","204",221,34,227,75
"1155","Produkt 16","Skin care","Facial care","514","28",229,-42,232,13
